zone,node_id,app_name,pdf_name,type,lane,phase,phase_order,cell_slot,in_edges,out_edges,detail_processes,review_status,memo
"business-contract","opportunity","사업기회확보","","manual","사업부 / ERP","사업기회","1","1","1","1","","pending",""
"business-contract","business-review","사업참여검토","","decision","사업부 / ERP","사업검토","2","","1","2","","pending",""
"business-contract","contract-approval","사업계약품의","","decision","사업부 / ERP","계약품의","3","7","1","2","","pending",""
"business-contract","contract-register","계약등록","","erp","사업부 / ERP","계약등록","4","6","2","1","","pending",""
"business-contract","project-register","프로젝트등록","","erp","사업부 / ERP","프로젝트등록","5","8","2","1","","pending",""
"business-contract","project-approval","사업실행품의","","decision","사업부 / ERP","실행품의","6","9","1","3","","pending",""
"inbound-inventory","node-mqhkso0a-7ceuz","매입마감조회","","erp","상생협력팀 / ERP","사업기회","1","6","1","1","","pending",""
"inbound-inventory","node-mqhkwa5x-sihxe","전표생성(미결)","","erp","상생협력팀 / ERP","사업기회","1","8","1","1","","pending",""
"inbound-inventory","inbound-info","입고정보전달","","interface","상생협력팀 / ERP","입고정보","12","1","2","1","","pending",""
"inbound-inventory","inbound-check","입고확인","","erp","물류센터 / 이지어드민","입고확인","13","2","1","0","","pending",""
"inbound-inventory","inbound-confirm","입고확정","","interface","물류센터 / 이지어드민","입고확정","14","3","1","1","","pending",""
"inbound-inventory","stock-plus","재고인식(+)","","system","물류센터 / 이지어드민","재고인식","15","3","1","1","","pending",""
"inbound-inventory","ap-close","매입마감확정","","erp","상생협력팀 / ERP","매입마감","16","7","1","1","","pending",""
"inbound-inventory","fi-posting","회계전표 반영","","system","재무팀 / ERP","회계전표","17","4","1","0","","pending",""
"purchase-order","node-mqhltm4t-el6dq","거래처 등록승인","","erp","재무팀 / ERP","사업기회","1","4","1","0","","pending",""
"purchase-order","node-mqhm27ka-y41py","품목등록요청","","erp","사업부 / ERP","사업기회","1","3","1","1","","pending",""
"purchase-order","node-mqhm3415-s0x6r","품목 등록승인","","erp","상생협력팀 / ERP","사업기회","1","3","1","0","","pending",""
"purchase-order","node-mqk4l3ai-882sn","위탁여부체크","","decision","사업부 / ERP","사업기회","1","7","2","2","","pending",""
"purchase-order","purchase-request","구매요청","","erp","사업부 / ERP","구매요청","7","6","1","1","business-to-purchase-request;purchase-to-ap-invoice;consignment-purchase-receipt","pending",""
"purchase-order","vendor-check","거래처/품목 확인","","decision","사업부 / ERP","거래처확인","8","2","0","3","","pending",""
"purchase-order","vendor-register","거래처 등록요청","","erp","사업부 / ERP","거래처등록","9","4","1","1","","pending",""
"purchase-order","po-approval","발주품의","","decision","상생협력팀 / ERP","발주품의","10","7","1","2","","pending",""
"purchase-order","purchase-order","계약/발주등록","","erp","상생협력팀 / ERP","발주등록","11","6","2","1","","pending",""
"return-movement","return-shipment-request","출고반품요청","","system","물류센터 / 이지어드민","반품","28","","0","0","","pending",""
"return-movement","return-inbound-check","반품입고확인","","manual","물류센터 / 이지어드민","반품","28","","1","0","","pending",""
"return-movement","return-inbound-register","반품입고등록","","interface","물류센터 / 이지어드민","반품","28","","0","0","","pending",""
"return-movement","return-confirm","반품확정","","system","물류센터 / 이지어드민","반품","28","","0","0","","pending",""
"return-movement","warehouse-transfer-request","창고이동요청등록","","erp","사업부 / ERP","창고이동","29","4","0","0","","pending",""
"return-movement","warehouse-transfer","창고이동","","interface","물류센터 / 이지어드민","창고이동","29","","0","0","","pending",""
"return-movement","warehouse-transfer-confirm","창고이동확정","","erp","물류센터 / 이지어드민","창고이동","29","","1","0","","pending",""
"return-movement","store-transfer-rt","매장간재고이동(RT)","","erp","판매현장 / 이지체인","창고이동","29","3","0","1","","pending",""
"return-movement","store-transfer","매장 간 이동","","manual","판매현장 / 이지체인","창고이동","29","4","1","1","","pending",""
"return-movement","free-gift-approval","무상증정품의","","decision","사업부 / ERP","기타출고","30","2","0","0","","pending",""
"return-movement","other-outbound-request","기타출고요청","","erp","사업부 / ERP","기타출고","30","1","0","0","","pending",""
"return-movement","other-outbound-confirm","기타출고확정","","erp","물류센터 / 이지어드민","기타출고","30","","0","0","","pending",""
"sales-shipment","node-mqg215ai-glqwv","반품주문등록","","erp","사업부 / ERP","사업기회","1","3","0","1","","pending",""
"sales-shipment","node-mqg2200t-bzgvl","출고반품요청","","system","사업부 / ERP","사업기회","1","8","1","1","","pending",""
"sales-shipment","node-mqkfpf9l-jy7t5","출고요청","","system","사업부 / ERP","사업기회","1","6","1","1","","pending",""
"sales-shipment","online-order","온라인몰판매","","external","물류센터 / 이지어드민","온라인주문","18","1","0","1","","pending",""
"sales-shipment","popup-sales","팝업/콘서트 판매","","manual","판매현장 / 이지체인","온라인주문","18","1","0","1","","pending",""
"sales-shipment","concert-sales","매장판매","","manual","판매현장 / 이지체인","온라인주문","18","2","0","1","","pending",""
"sales-shipment","order-sync","주문정보연동","","interface","물류센터 / 이지어드민","주문연동","19","2","0","1","","pending",""
"sales-shipment","pos-easychain-sync","POS/이지체인 판매정보 연동","","interface","판매현장 / 이지체인","주문연동","19","6","2","1","","pending",""
"sales-shipment","shipment-request","출고요청","","interface","사업부 / ERP","출고요청","20","1","0","1","","pending",""
"sales-shipment","shipment-check","출고확인","","manual","물류센터 / 이지어드민","출고확인","21","2","4","1","","pending",""
"sales-shipment","shipment-confirm","출고확정","","interface","물류센터 / 이지어드민","출고확정","22","","2","1","","pending",""
"sales-shipment","stock-minus","재고인식(-)","","system","물류센터 / 이지어드민","재고차감","23","8","1","0","","pending",""
"sales-shipment","sales-close","매출마감확정","","erp","재무팀 / ERP","매출마감","24","","1","0","","pending",""
"sales-shipment","sales-posting","전표생성(미결)","","system","재무팀 / ERP","회계전표","25","","0","0","","pending",""
"sales-shipment","order-register","주문등록","","erp","사업부 / ERP","주문등록","26","1","1","1","b2b-domestic-order-to-sales;b2b-export-order-to-sales;b2c-order-to-sales;preorder-to-sales","pending",""
"sales-shipment","sales-inquiry","매출마감조회","","erp","재무팀 / ERP","매출마감조회","27","","1","1","","pending",""
"settlement-close","consignment-stock-status","위탁재고현황","","system","물류센터 / 이지어드민","위탁정산","31","","0","1","","pending",""
"settlement-close","consignment-sales-register","위탁매출마감등록","","erp","재무팀 / ERP","위탁정산","31","","1","1","","pending",""
"settlement-close","consignment-sales-close","위탁매출마감확정","","erp","재무팀 / ERP","위탁정산","31","","1","1","","pending",""
"settlement-close","exception-handling","예외사항처리","","exception","상생협력팀 / ERP","위탁정산","31","","1","0","","pending",""
"settlement-close","royalty-sales-aggregate","로열티매출집계","","system","재무팀 / ERP","로열티/MG정산","32","","0","1","","pending",""
"settlement-close","royalty-sales-close","로열티매출마감확정","","erp","재무팀 / ERP","로열티/MG정산","32","","1","1","","pending",""
"settlement-close","mg-deduct-check","MG 차감여부","","decision","재무팀 / ERP","로열티/MG정산","32","","1","2","","pending",""
"settlement-close","mg-offset-process","MG상계처리","","erp","재무팀 / ERP","로열티/MG정산","32","","1","1","","pending",""
"settlement-close","settlement-posting","정산전표처리","","system","재무팀 / ERP","로열티/MG정산","32","","3","0","consignment-settlement;royalty-mg-settlement","pending",""
"settlement-close","prepayment-process","선수금처리","","erp","재무팀 / ERP","자금","33","","1","1","","pending",""
"settlement-close","regular-fund-execution","정기자금집행","","erp","재무팀 / ERP","자금","33","","1","1","","pending",""
